ref_num,area,city,district,Mukatat,piece_num,date,property_classification,property_type,number_of_properties,price,space,Price_per_square_meter
16082153,منطقة الرياض,الدرعيه,العمارية,من أصل القطعة رقم 61,1537,2/1/2022,زراعي,أرض زراعية,1,1200000,3000.0,400.0
16082143,منطقة الرياض,الدرعيه,العمارية,من أصل القطعة رقم 61,1538,2/1/2022,زراعي,أرض زراعية,1,1200000,3000.0,400.0
16082197,منطقة الرياض,الدرعيه,العمارية,من أصل القطعة رقم 61,1539,2/1/2022,زراعي,أرض زراعية,1,1200000,3000.0,400.0
16082209,منطقة الرياض,الدرعيه,العمارية,من أصل القطعة رقم 61,1540,2/1/2022,زراعي,أرض زراعية,1,1200000,3000.0,400.0
16082214,منطقة الرياض,الدرعيه,العمارية,من أصل القطعة رقم 61,1541,2/1/2022,زراعي,أرض زراعية,1,1200000,3000.0,400.0
16082251,منطقة الرياض,الدرعيه,العمارية,من أصل القطعة رقم 61,1547,2/1/2022,زراعي,أرض زراعية,1,1200000,3000.0,400.0
16082286,منطقة الرياض,الدرعيه,العمارية,من أصل القطعة رقم 61,1548,2/1/2022,زراعي,أرض زراعية,1,1200000,3000.0,400.0
16082312,منطقة الرياض,الدرعيه,العمارية,من أصل القطعة رقم 61,1549,2/1/2022,زراعي,أرض زراعية,1,1200000,3000.0,400.0
16082325,منطقة الرياض,الدرعيه,العمارية,من أصل القطعة رقم 61,1550,2/1/2022,زراعي,أرض زراعية,1,1200000,3000.0,400.0
16082340,منطقة الرياض,الدرعيه,العمارية,من أصل القطعة رقم 61,1551,2/1/2022,زراعي,أرض زراعية,1,1200000,3000.0,400.0
16082443,منطقة الرياض,الدرعيه,العمارية,من أصل القطعة رقم 61,932,2/1/2022,زراعي,أرض زراعية,1,1500000,3000.0,500.0
16081953,منطقة الرياض,الدرعيه,العمارية,من اصل القطعة رقم 134,23,2/1/2022,زراعي,أرض زراعية,1,550000,10000.0,55.0
16081682,منطقة الرياض,الرياض,الحزم,2191,20/2,2/1/2022,تجاري,شقة,1,350000,145.71,2402.0314
16077266,منطقة الرياض,الرياض,الدار البيضاء,2245,12/35,2/1/2022,تجاري,شقة,1,400000,179.53,2228.0398
16081793,منطقة الرياض,الرياض,الدار البيضاء,2705/أ,43/8,2/1/2022,سكني,شقة,1,285000,128.65,2215.3128
16077440,منطقة الرياض,الرياض,الدار البيضاء,2705/أ,7/38,2/1/2022,سكني,شقة,1,470000,163.42,2876.0249
16082285,منطقة الرياض,الرياض,الدار البيضاء,2705/أ,7/38,2/1/2022,سكني,شقة,1,315000,163.42,1927.5486
16076404,منطقة الرياض,الرياض,الدريهمية,3271,9/10,2/1/2022,سكني,شقة,1,500000,156.3,3198.9763
16080738,منطقة الرياض,الرياض,المهدية,2566,2/أ,2/1/2022,زراعي,شقة,1,360000,115.26,3123.3732
16082396,منطقة الرياض,الرياض,المهدية,2566,4162,2/1/2022,زراعي,شقة,1,1200000,304.44,3941.6633
16075300,منطقة الرياض,الرياض,النخيل,2961,5/أ,2/1/2022,زراعي,شقة,1,500000,113.78,4394.4454
16081771,منطقة الرياض,الرياض,النهضة,2734,17/4,2/1/2022,سكني,شقة,1,550000,136.73,4022.5261
16081905,منطقة الرياض,الرياض,الياسمين,1637/س,36/11,2/1/2022,سكني,شقة,1,496822,217.47,2284.5541
16081723,منطقة الرياض,الرياض,قرطبة,2405,1/2,2/1/2022,زراعي,شقة,1,679000,163.16,4161.5592
16078075,منطقة الرياض,الرياض,قرطبة,3115/م,2/2,2/1/2022,زراعي,شقة,1,510000,142.72,3573.4304
16075200,منطقة الرياض,الرياض,لبن,2351,2/2,2/1/2022,زراعي,شقة,1,320000,101.0,3168.3168
16074925,منطقة الرياض,الرياض,لبن,2351/أ,1/2,2/1/2022,زراعي,شقة,1,270000,93.23,2896.0634
16076752,منطقة الرياض,الرياض,لبن,2351/و,3299/8,2/1/2022,سكني,شقة,1,460000,188.924,2434.8415
16080350,منطقة الرياض,المزاحميه,أخرى,أخرى,148,2/1/2022,زراعي,أرض زراعية,1,170000,10000.0,17.0
16075286,منطقة الرياض,المزاحميه,أخرى,أخرى,201,2/1/2022,زراعي,أرض زراعية,1,235000,10000.0,23.5
16075596,منطقة الرياض,المزاحميه,أخرى,أخرى,202,2/1/2022,زراعي,أرض زراعية,1,235000,10000.0,23.5
16082774,منطقة الرياض,المزاحميه,أخرى,أخرى,34,2/1/2022,زراعي,أرض زراعية,1,70000,10000.0,7.0
16076591,منطقة الرياض,المزاحميه,أخرى,أخرى,45,2/1/2022,زراعي,أرض زراعية,1,300000,10000.0,30.0
16075617,منطقة الرياض,المزاحميه,أخرى,أخرى,61,2/1/2022,زراعي,أرض زراعية,1,170000,10010.0,16.983
16078521,منطقة الرياض,المزاحميه,أخرى,أخرى,8,2/1/2022,زراعي,أرض زراعية,1,130000,10000.0,13.0
16072223,منطقة الرياض,المزاحميه,حي/أخرى,أخرى,104/أ,2/1/2022,زراعي,أرض زراعية,1,1000000,21000.0,47.619
16072467,منطقة الرياض,المزاحميه,حي/أخرى,أخرى,97/أ,2/1/2022,زراعي,أرض زراعية,1,1000000,21000.0,47.619
16077535,منطقة الرياض,المزاحميه,حي/أخرى,أخرى,257/259,2/1/2022,زراعي,أرض زراعية,1,700000,10000.0,70.0
16081907,منطقة الرياض,المزاحميه,الجله,218/13,60,2/1/2022,زراعي,أرض زراعية,1,200000,10000.0,20.0
16075498,منطقة الرياض,المزاحميه,الجله,408,59,2/1/2022,زراعي,أرض زراعية,1,170000,10010.0,16.983
16081453,منطقة الرياض,المزاحميه,الجله,427,12,2/1/2022,زراعي,أرض زراعية,1,100000,10000.0,10.0
16082789,منطقة الرياض,المزاحميه,الجله,427,33,2/1/2022,زراعي,أرض زراعية,1,70000,10000.0,7.0
16080701,منطقة الرياض,المزاحميه,حي/أخرى,أخرى,1851,2/1/2022,زراعي,أرض زراعية,1,400000,4200.0,95.238
16076494,منطقة الرياض,المزاحميه,الربيع الثانى,أخرى,44,2/1/2022,زراعي,أرض زراعية,1,250000,2000.0,125.0
16080588,منطقة الرياض,المزاحميه,الشروق,أخرى,262,2/1/2022,زراعي,أرض زراعية,1,340000,2241.0,151.7179
16077628,منطقة الرياض,شقراء,أخرى,أخرى,10,2/1/2022,زراعي,أرض زراعية,1,340000,54600.0,6.2271
16081915,منطقة مكة المكرمة,الطائف,القيم,306/س/1415هـ,18,2/1/2022,سكني,شقة,1,435000,237.61,1830.731
16075691,منطقة مكة المكرمة,جده,حي/أخرى,1421/س/ت,3,2/1/2022,سكني,شقة,1,450000,104.23,4317.375
