ref_num,area,city,district,Mukatat,piece_num,property_classification,property_type,number_of_properties,price,space,Price_per_square_meter
18923186.0,منطقة الرياض,الافلاج,أخرى,أخرى,505,سكني,أرض,1.0,32000.0,630.0,50.79
18920819.0,منطقة الرياض,الافلاج,الريان,872,1500,سكني,أرض,1.0,60000.0,690.0,86.96
18923523.0,منطقة الرياض,الخرج,حي/أخرى,أخرى,948,سكني,أرض,1.0,20000.0,630.0,31.75
18909006.0,منطقة الرياض,الخرج,الاندلس,أخرى,555,سكني,أرض,1.0,140000.0,333.0,420.42
18857540.0,منطقة الرياض,الخرج,الخالديه,97,182,سكني,أرض,1.0,50000.0,380.0,131.58
18920141.0,منطقة الرياض,الخرج,العفجه,أخرى,442,زراعي,أرض زراعية,1.0,400000.0,5000.0,80.0
18919935.0,منطقة الرياض,الخرج,الفيصلية,1646,137,سكني,أرض,1.0,340000.0,500.0,680.0
18919958.0,منطقة الرياض,الخرج,الفيصلية,1646,139,سكني,أرض,1.0,374000.0,550.0,680.0
18915485.0,منطقة الرياض,الخرج,الورود,1209,1/1,زراعي,شقة,1.0,475000.0,244.13,1945.68
18915704.0,منطقة الرياض,الخرج,اليرموك,1009,543,سكني,أرض,1.0,1335120.0,620.0,2153.42
18890706.0,منطقة الرياض,الخرج,غرب الهياثم,151,163/165,سكني,أرض,1.0,168938.0,318.75,530.0
18890043.0,منطقة الرياض,الخرج,غرب الهياثم,151,164/أ,سكني,أرض,1.0,189014.0,356.36,530.4
18890586.0,منطقة الرياض,الخرج,غرب الهياثم,151,165/167,سكني,أرض,1.0,168938.0,318.75,530.0
18890650.0,منطقة الرياض,الخرج,غرب الهياثم,151,165/أ,سكني,أرض,1.0,168938.0,318.75,530.0
18890246.0,منطقة الرياض,الخرج,غرب الهياثم,151,166/168,سكني,أرض,1.0,168938.0,318.75,530.0
18890290.0,منطقة الرياض,الخرج,غرب الهياثم,151,168/170,سكني,أرض,1.0,168938.0,318.75,530.0
18890793.0,منطقة الرياض,الخرج,غرب الهياثم,151,171/أ,سكني,أرض,1.0,168938.0,318.75,530.0
18890600.0,منطقة الرياض,الخرج,غرب الهياثم,151,172/أ,سكني,أرض,1.0,168938.0,318.75,530.0
18918578.0,منطقة الرياض,الخرج,غرب الهياثم,151,307/309,سكني,أرض,1.0,198900.0,331.5,600.0
18918485.0,منطقة الرياض,الخرج,غرب الهياثم,151,307/أ,سكني,أرض,1.0,207492.0,345.82,600.0
18920201.0,منطقة الرياض,الخرج,غرب الهياثم,151,308/310,سكني,أرض,1.0,198900.0,331.5,600.0
18920269.0,منطقة الرياض,الخرج,غرب الهياثم,151,308/أ,سكني,أرض,1.0,207528.0,345.88,600.0
18918637.0,منطقة الرياض,الخرج,غرب الهياثم,151,309/أ,سكني,أرض,1.0,198900.0,331.5,600.0
18918698.0,منطقة الرياض,الخرج,غرب الهياثم,151,311/313,سكني,أرض,1.0,198900.0,331.5,600.0
18918833.0,منطقة الرياض,الخرج,غرب الهياثم,151,313/315,سكني,أرض,1.0,198900.0,331.5,600.0
18918791.0,منطقة الرياض,الخرج,غرب الهياثم,151,313/أ,سكني,أرض,1.0,198900.0,331.5,600.0
18918939.0,منطقة الرياض,الخرج,غرب الهياثم,151,315/317,سكني,أرض,1.0,198900.0,331.5,600.0
18919031.0,منطقة الرياض,الخرج,غرب الهياثم,151,317/319,سكني,أرض,1.0,198900.0,331.5,600.0
18918886.0,منطقة الرياض,الخرج,غرب الهياثم,151,317/أ,سكني,أرض,1.0,198900.0,331.5,600.0
18920011.0,منطقة الرياض,الخرج,غرب الهياثم,151,319/أ,سكني,أرض,1.0,198900.0,331.5,600.0
18920067.0,منطقة الرياض,الخرج,غرب الهياثم,151,321/323,سكني,أرض,1.0,198900.0,331.5,600.0
18920035.0,منطقة الرياض,الخرج,غرب الهياثم,151,321/أ,سكني,أرض,1.0,198900.0,331.5,600.0
18920118.0,منطقة الرياض,الخرج,غرب الهياثم,151,323/325,سكني,أرض,1.0,198900.0,331.5,600.0
18920084.0,منطقة الرياض,الخرج,غرب الهياثم,151,323/أ,سكني,أرض,1.0,198900.0,331.5,600.0
18920147.0,منطقة الرياض,الخرج,غرب الهياثم,151,325/327,سكني,أرض,1.0,198900.0,331.5,600.0
18920161.0,منطقة الرياض,الخرج,غرب الهياثم,151,327/أ,سكني,أرض,1.0,231516.0,385.86,600.0
18921290.0,منطقة الرياض,الخرج,غرب الهياثم,أخرى,304,زراعي,أرض زراعية,1.0,215000.0,5000.0,43.0
18921338.0,منطقة الرياض,الخرج,قرب الثليماء,1548,1360,تجاري,أرض,1.0,290857.0,661.04,440.0
18921411.0,منطقة الرياض,الخرج,قرب الثليماء,1548,1362,تجاري,أرض,1.0,238752.0,542.62,440.0
18920125.0,منطقة الرياض,الدرعيه,عقرباء,273/أ/2/س,1034,سكني,أرض,1.0,100000.0,500.0,200.0
18921658.0,منطقة الرياض,الدرعيه,عقرباء,273/أ/2/س,1058,سكني,أرض,1.0,80000.0,500.0,160.0
18919109.0,منطقة الرياض,الدلم,حي/أخرى,أخرى,86,سكني,أرض,1.0,20000.0,460.0,43.48
18915622.0,منطقة الرياض,الدلم,بدون والمسمى الاستراحات,أخرى,1157,سكني,أرض,1.0,50000.0,5000.0,10.0
18918253.0,منطقة الرياض,الدوادمي,حي/أخرى,أخرى,127,سكني,أرض,1.0,95000.0,595.0,159.66
18917798.0,منطقة الرياض,الدوادمي,حي/أخرى,أخرى,130,سكني,أرض,1.0,15000.0,501.82,29.89
18907962.0,منطقة الرياض,الدوادمي,أخرى,أخرى,1191,سكني,أرض,1.0,60000.0,630.0,95.24
18917249.0,منطقة الرياض,الدوادمي,أخرى,أخرى,205,سكني,أرض,1.0,90000.0,476.0,189.08
18923156.0,منطقة الرياض,الدوادمي,أخرى,أخرى,3477,سكني,أرض,1.0,108000.0,600.0,180.0
18917978.0,منطقة الرياض,الدوادمي,أخرى,أخرى,3964,سكني,أرض,1.0,130000.0,600.0,216.67
18920061.0,منطقة الرياض,الدوادمي,أخرى,أخرى,4186,سكني,أرض,1.0,110000.0,600.0,183.33
18916574.0,منطقة الرياض,الرياض,اشبيليا,2714,26/2,سكني,أرض,1.0,1150000.0,450.0,2555.56
18917832.0,منطقة الرياض,الرياض,اشبيليا,3011,435/2,سكني,أرض,1.0,136117.0,450.0,302.48
18923510.0,منطقة الرياض,الرياض,اشبيليا,3183,144/6,سكني,شقة,1.0,350000.0,166.67,2099.96
18921934.0,منطقة الرياض,الرياض,البيان,2670,644/3,سكني,أرض,1.0,922500.0,450.0,2050.0
18907617.0,منطقة الرياض,الرياض,الحمراء,2040/ب,154/2,سكني,أرض,1.0,1428600.0,450.0,3174.67
18920585.0,منطقة الرياض,الرياض,الخير,3312/أ,1516,سكني,أرض,1.0,1060000.0,800.0,1325.0
18922924.0,منطقة الرياض,الرياض,الخير,3312/أ,636,تجاري,أرض,1.0,1500000.0,800.0,1875.0
18918629.0,منطقة الرياض,الرياض,الخير,3312/ب,704,سكني,أرض,1.0,1100000.0,768.04,1432.22
18909568.0,منطقة الرياض,الرياض,الخير,3414,285/2,سكني,أرض,1.0,430000.0,375.0,1146.67
18922548.0,منطقة الرياض,الرياض,الخير,3416,57/8/2,سكني,أرض,1.0,403000.0,260.0,1550.0
18923068.0,منطقة الرياض,الرياض,الخير,3537,255/1,سكني,أرض,1.0,375000.0,437.5,857.14
18923059.0,منطقة الرياض,الرياض,الخير,3537,255/2,سكني,أرض,1.0,375000.0,437.5,857.14
18923160.0,منطقة الرياض,الرياض,الخير,3537,2572,سكني,أرض,1.0,730000.0,782.0,933.5
18909498.0,منطقة الرياض,الرياض,الخير,3537,426/2,سكني,أرض,1.0,400000.0,375.0,1066.67
18922574.0,منطقة الرياض,الرياض,الخير,3537,695,سكني,أرض,1.0,600000.0,750.0,800.0
18922623.0,منطقة الرياض,الرياض,الخير,3539,1084,سكني,أرض,1.0,910000.0,825.0,1103.03
18916190.0,منطقة الرياض,الرياض,الخير,3539,3037,سكني,أرض,1.0,550000.0,600.0,916.67
18923588.0,منطقة الرياض,الرياض,الخير,3541,2719/1,سكني,أرض,1.0,400000.0,375.0,1066.67
18920285.0,منطقة الرياض,الرياض,الخير,3541,4461/1,سكني,أرض,1.0,360000.0,375.0,960.0
18908000.0,منطقة الرياض,الرياض,الخير,3541,4465/1/2,سكني,أرض,1.0,350000.0,301.37,1161.36
18896926.0,منطقة الرياض,الرياض,الخير,3541,4888/2,سكني,أرض,1.0,427000.0,375.0,1138.67
18922088.0,منطقة الرياض,الرياض,الدار البيضاء,2705/أ,6771/3,سكني,أرض,1.0,372160.0,218.75,1701.3
18907693.0,منطقة الرياض,الرياض,الرابية,3046,761,سكني,أرض,1.0,235000.0,400.0,587.5
18923274.0,منطقة الرياض,الرياض,الرابية,3095,1100/3,سكني,أرض,1.0,186000.0,360.0,516.67
18907279.0,منطقة الرياض,الرياض,الرابية,3096,383,سكني,أرض,1.0,430000.0,936.0,459.4
18908864.0,منطقة الرياض,الرياض,الرابية,3097,1722,تجاري,أرض,1.0,235000.0,409.45,573.94
18923285.0,منطقة الرياض,الرياض,الرمال,3083,1445/2,سكني,أرض,1.0,1300000.0,375.0,3466.67
18921573.0,منطقة الرياض,الرياض,الرمال,3242,1440/2,سكني,أرض,1.0,1000000.0,273.61,3654.84
18916536.0,منطقة الرياض,الرياض,الزهرة,1017,322,سكني,أرض,1.0,650000.0,400.0,1625.0
18907181.0,منطقة الرياض,الرياض,الزهور,3048,889/2,سكني,أرض,1.0,280000.0,450.0,622.22
18920347.0,منطقة الرياض,الرياض,السعادة,2984,2/أ,زراعي,شقة,1.0,355000.0,131.3,2703.73
18923563.0,منطقة الرياض,الرياض,السويدى,1176,514,سكني,أرض,1.0,984000.0,500.0,1968.0
18916022.0,منطقة الرياض,الرياض,السويدى,1638,6104,سكني,أرض,1.0,530000.0,360.0,1472.22
18915954.0,منطقة الرياض,الرياض,الشفاء,2032,7/2,سكني,شقة,1.0,357364.0,110.4,3236.99
18918963.0,منطقة الرياض,الرياض,الشفاء,3272,1/1,زراعي,شقة,1.0,530000.0,202.6,2615.99
18921277.0,منطقة الرياض,الرياض,حي/أخرى,1637/س,245/1,سكني,أرض,1.0,1118640.0,375.0,2983.04
18923789.0,منطقة الرياض,الرياض,القادسية,1358/ب,487/1,سكني,أرض,1.0,900000.0,375.0,2400.0
18919050.0,منطقة الرياض,الرياض,حي/أخرى,1344,314/118,سكني,شقة,1.0,663680.0,232.87,2850.0
18921705.0,منطقة الرياض,الرياض,المصفاة,3200,1422,سكني,أرض,1.0,500000.0,715.09,699.21
18921347.0,منطقة الرياض,الرياض,المصفاة,3200,5110,سكني,أرض,1.0,230000.0,595.5,386.23
18920479.0,منطقة الرياض,الرياض,المصفاة,3200,628,سكني,أرض,1.0,230000.0,599.9,383.4
18906601.0,منطقة الرياض,الرياض,المصفاة,3200,835,سكني,أرض,1.0,225000.0,599.9,375.06
18918056.0,منطقة الرياض,الرياض,المصفاة,3880/1,777,سكني,أرض,1.0,1446808.0,1808.51,800.0
18918567.0,منطقة الرياض,الرياض,المعيزلية,2997,300,سكني,أرض,1.0,1739550.0,876.65,1984.32
18923288.0,منطقة الرياض,الرياض,المونسية,3259,310,سكني,أرض,1.0,1052000.0,540.0,1948.15
18923356.0,منطقة الرياض,الرياض,المونسية,3259,312,سكني,أرض,1.0,1052000.0,540.0,1948.15
18915682.0,منطقة الرياض,الرياض,النرجس,3243,512/1,سكني,أرض,1.0,237504.0,230.0,1032.63
18923770.0,منطقة الرياض,الرياض,اليرموك,1822/و,341/9,سكني,شقة,1.0,450000.0,128.58,3499.77
18918234.0,منطقة الرياض,الرياض,اليمامة,1951,67,سكني,أرض,1.0,380000.0,245.26,1549.38
